Ref,Val,Package,PosX,PosY,Rot,Side
"","","b9f70def-b1a4-4804-8b04-89d3a63594a6",175.176211,-112.238695,0.000000,top
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",176.010785,-126.990000,180.000000,top
"C1","4n7","C_0201_0603Metric",155.865000,-104.220000,0.000000,top
"C2","2p2","C_0201_0603Metric",185.222500,-121.532500,90.000000,top
"C3","2p2","C_0201_0603Metric",184.522500,-121.537500,90.000000,top
"C4","22u","C_0201_0603Metric",153.460000,-113.655000,-90.000000,top
"C5","22u","C_0201_0603Metric",148.295000,-116.572500,0.000000,top
"C6","1u","C_0201_0603Metric",145.705000,-117.882500,180.000000,top
"C7","0u1F","C_0201_0603Metric",185.092500,-130.910000,-90.000000,top
"C8","10u","C_0201_0603Metric",153.197500,-121.895000,-90.000000,top
"C9","2u2","C_0201_0603Metric",158.207500,-122.385000,-90.000000,top
"C10","100u","CP_Elec_6.3x5.4",159.627500,-126.735000,-90.000000,top
"D1","PRTR5V0U2X","SOT-143",154.720000,-101.977500,180.000000,top
"D2","LED","LED_0201_0603Metric",162.347500,-102.557500,0.000000,top
"D3","LED","LED_0201_0603Metric",166.790000,-99.617500,90.000000,top
"D5","GREEN","LED_0201_0603Metric",147.525000,-118.832500,0.000000,top
"D6","PMEG6020ER","Nexperia_CFP3_SOD-123W",155.460000,-111.820000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_Amphenol_12401548E4-2A",147.230000,-104.917500,-90.000000,top
"J2","Conn_02x03_Pin","PinHeader_2x03_P2.54mm_Vertical",159.365000,-97.962500,90.000000,top
"J3","Micro_SD_Card_Det1","microSD_HC_Molex_104031-0811",184.410000,-112.670000,90.000000,top
"J4","STARBOARD_SERVO","PinHeader_1x03_P2.54mm_Vertical",149.500000,-125.730000,-90.000000,top
"J5","PORTSIDE_SERVO","PinHeader_1x03_P2.54mm_Vertical",149.530000,-131.980000,-90.000000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",151.037500,-119.480000,0.000000,top
"J7","EJECTION_SERVO","PinHeader_1x03_P2.54mm_Vertical",153.460000,-126.440000,0.000000,top
"L1","6u8","L_0402_1005Metric",158.350000,-120.110000,-90.000000,top
"PORTSIDE_RGB1","SMLVN6RGB","LED_ROHM_SMLVN6",188.755000,-96.030000,0.000000,top
"Q1","BSS138","SOT-23",165.630000,-107.315000,-90.000000,top
"Q2","BSS138","SOT-23",170.250000,-98.505000,0.000000,top
"Q3","BSS138","SOT-23",166.632500,-102.287500,-90.000000,top
"Q4","BSS138","SOT-23",165.000000,-127.000000,90.000000,top
"R1","1M","R_0402_1005Metric",157.270000,-103.177500,0.000000,top
"R2","4k7","R_0402_1005Metric",158.450000,-101.557500,-90.000000,top
"R3","330","R_0402_1005Metric",166.790000,-97.952500,-90.000000,top
"R4","330","R_0402_1005Metric",163.990000,-102.557500,180.000000,top
"R5","0","R_0402_1005Metric",164.650000,-104.917500,180.000000,top
"R6","4k7","R_0402_1005Metric",166.530000,-104.907500,180.000000,top
"R7","4k7","R_0402_1005Metric",166.160000,-109.737500,180.000000,top
"R9","4k7","R_0402_1005Metric",163.567500,-101.617500,180.000000,top
"R10","4k7","R_0402_1005Metric",167.770000,-99.127500,-90.000000,top
"R11","4k7","R_0402_1005Metric",159.820000,-102.107500,-90.000000,top
"R12","4k7","R_0402_1005Metric",168.600000,-104.707500,180.000000,top
"R13","4k7","R_0402_1005Metric",172.660000,-99.017500,90.000000,top
"R14","100k","R_0402_1005Metric",152.335000,-113.852500,-90.000000,top
"R15","100k","R_0402_1005Metric",146.665000,-112.952500,180.000000,top
"R16","19k1","R_0402_1005Metric",144.775000,-112.952500,180.000000,top
