Comment,Designator,Footprint,LCSC
Buzzer,BZ1,Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,C76871
4n7,C1,Capacitor_SMD:C_0201_0603Metric,C85980
100u,C10,Capacitor_SMD:CP_Elec_6.3x5.4,C7469977
2p2,"C2,C3",Capacitor_SMD:C_0201_0603Metric,C1651
22u,"C4,C5",Capacitor_SMD:C_0201_0603Metric,C15500
1u,C6,Capacitor_SMD:C_0201_0603Metric,C15849
0u1F,C7,Capacitor_SMD:C_0201_0603Metric,C1590
10u,C8,Capacitor_SMD:C_0201_0603Metric,C1691
2u2,C9,Capacitor_SMD:C_0201_0603Metric,C2180314
PRTR5V0U2X,D1,Package_TO_SOT_SMD:SOT-143,C2827688
LED,"D2,D3",LED_SMD:LED_0201_0603Metric,C2286
DNP,D4,,
GREEN,D5,LED_SMD:LED_0201_0603Metric,C12624
PMEG6020ER,D6,Diode_SMD:Nexperia_CFP3_SOD-123W,C2687553
USB_C_Receptacle_USB2.0_16P,J1,Connector_USB:USB_C_Receptacle_Amphenol_12401548E4-2A,C3197666
Conn_02x03_Pin,J2,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,C124384
Micro_SD_Card_Det1,J3,Connector_Card:microSD_HC_Molex_104031-0811,C585350
STARBOARD_SERVO,J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,C7434480
PORTSIDE_SERVO,J5,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,C7434480
Conn_01x02_Pin,J6,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,C7434480
EJECTION_SERVO,J7,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,C7434480
6u8,L1,Inductor_SMD:L_0402_1005Metric,
SMLVN6RGB,"PORTSIDE_RGB1,STARBOARD_RGB1",LED_SMD:LED_ROHM_SMLVN6,C2909770
BSS138,"Q1,Q2,Q3,Q4",Package_TO_SOT_SMD:SOT-23,C52895
1M,R1,Resistor_SMD:R_0402_1005Metric,C881126
100k,"R14,R15",Resistor_SMD:R_0402_1005Metric,C881126
19k1,R16,Resistor_SMD:R_0402_1005Metric,C77609
10k,"R18,R23,R24",Resistor_SMD:R_0402_1005Metric,C176114
4k7,"R2,R6,R7,R9,R10,R11,R12,R13,R19,R20",Resistor_SMD:R_0402_1005Metric,C881369
2k2,"R21,R22",Resistor_SMD:R_0402_1005Metric,C880600
220,"R25,R26,R27,R28,R29,R30",Resistor_SMD:R_0402_1005Metric,C1111
330,"R3,R4,R17",Resistor_SMD:R_0402_1005Metric,C12246
5k1,"R31,R32",Resistor_SMD:R_0402_1005Metric,C881131
0,R5,Resistor_SMD:R_0402_1005Metric,C17168
DNP,R8,Resistor_SMD:R_0402_1005Metric,
TestPoint,"TP1,TP2",TestPoint:TestPoint_Pad_1.0x1.0mm,
ATSAMD11D14A-M,U1,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C614174
ATmega4809-A,U2,Package_QFP:TQFP-48_7x7mm_P0.5mm,C1340041
AT25DF641A-SH-T,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C2060944
AP2112K-3.3,U4,Package_TO_SOT_SMD:SOT-23-5,C3021085
BD1020HFV,U5,Package_TO_SOT_SMD:HVSOF5,C2979998
BNO086,U6,Package_LGA:LGA-28_5.2x3.8mm_P0.5mm,C5264422
TXB0104D,U7,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C1549752
TPS61092,U8,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm_ThermalVias,
MPM3610AGQV-P,U9,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,
32.768kHz,Y1,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Vertical,
